Country,lat,lon
Albania,41.0000280,19.9999619
Algeria,28.0000272,2.9999825
Andorra,42.5407167,1.5732033
Anguilla,18.1954947,-63.0750234
Argentina,-34.9964963,-64.9672817
Armenia,40.7696272,44.6736646
Australia,-24.7761086,134.7550000
Austria,47.5939700,14.1245600
Azerbaijan,40.3936294,47.7872508
Bahrain,26.1551249,50.5344606
Bangladesh,24.4769288,90.2934413
Belgium,50.6402809,4.6667145
Brazil,-10.3333333,-53.2000000
Bulgaria,42.6073975,25.4856617
Canada,61.0666922,-107.9917070
Chile,-31.7613365,-71.3187697
China,35.0000663,104.9999550
Colombia,4.0999170,-72.9088133
Cyprus,34.9174159,32.8899027
Czech Republic,49.7439047,15.3381061
Denmark,55.6702490,10.3333283
Dominican Republic,19.0974031,-70.3028026
Egypt,26.2540493,29.2675469
Estonia,58.7523778,25.3319078
Finland,63.2467777,25.9209164
France,46.6033540,1.8883335
Georgia,32.3293809,-83.1137366
Germany,51.1638175,10.4478313
Ghana,8.0300284,-1.0800271
Greece,38.9953683,21.9877132
Hong Kong,22.3506270,114.1849161
Hungary,47.1817585,19.5060937
India,22.3511148,78.6677428
Ireland,52.8651960,-7.9794599
Isle Of Man,54.1936805,-4.5591148
Italy,42.6384261,12.6742970
Japan,36.5748441,139.2394179
Kazakhstan,48.1012954,66.7780818
Kenya,1.4419683,38.4313975
Kuwait,29.2733964,47.4979476
La Reunion,-21.1309332,55.5265771
Lebanon,33.8750629,35.8434090
Lithuania,55.3500003,23.7499997
Luxembourg,49.8158683,6.1296751
Malaysia,4.5693754,102.2656823
Mexico,23.6585116,-102.0077097
Morocco,28.3347722,-10.3713379
Nepal,28.3780464,83.9999901
Netherlands,52.2434979,5.6343227
New Zealand,-41.5000831,172.8344077
Nigeria,9.6000359,7.9999721
North Macedonia,41.6171214,21.7168387
Norway,61.1529386,8.7876653
Oman,21.0000287,57.0036901
Pakistan,30.3308401,71.2474990
Poland,52.2159330,19.1344220
Portugal,39.6621648,-8.1353519
Qatar,25.3336984,51.2295295
Romania,45.9852129,24.6859225
Saudi Arabia,25.6242618,42.3528328
Serbia,44.0243229,21.0765743
Singapore,1.3571070,103.8194992
Slovakia,48.7411522,19.4528646
Slovenia,46.1199444,14.8153333
South Africa,-28.8166236,24.9916390
South Korea,36.6383920,127.6961188
Spain,39.3260685,-4.8379791
Sweden,59.6749712,14.5208584
Switzerland,46.7985624,8.2319736
Taiwan,23.9739374,120.9820179
Thailand,14.8971921,100.8327300
Turkey,39.2940760,35.2316631
Uganda,1.5333554,32.2166578
Ukraine,49.4871968,31.2718321
United Arab Emirates,24.0002488,53.9994829
United Kingdom,54.7023545,-3.2765753
United States,39.7837304,-100.4458820
Uruguay,-32.8755548,-56.0201525
